player_id,player_name,team,season,proj_target_share_next,proj_carry_share_next,targets,rush_att,team_targets,team_carries
00-0026625,B.Hoyer,IND,2019,0.0,0.0530012771392081,0.0,3.0,24.0,32.0
00-0026625,B.Hoyer,NE,2020,0.0,0.0285714285714285,0.0,1.0,35.0,35.0
00-0026625,B.Hoyer,NE,2021,0.0,0.0591377576671694,0.0,2.0,33.0,36.0
00-0026625,B.Hoyer,NE,2022,0.0,0.0,0.0,0.0,20.0,33.0
00-0026625,B.Hoyer,LV,2023,0.0,0.0909090909090909,0.0,0.0,45.0,14.0
00-0026986,M.Crabtree,ARI,2019,0.081081081081081,0.0,2.0,0.0,42.0,22.0
00-0027029,L.McCoy,KC,2019,0.1251780626780626,0.2703277990634312,0.0,6.0,34.0,25.0
00-0027029,L.McCoy,TB,2020,0.0507530081173492,0.0893772893772893,1.0,0.0,41.0,26.0
00-0027061,J.Cook,NO,2019,0.101620984379605,0.0,5.0,0.0,33.0,17.0
00-0027061,J.Cook,NO,2020,0.1699051268016785,0.0,7.0,0.0,35.0,25.0
00-0027061,J.Cook,LAC,2021,0.1676382264617558,0.0,7.0,0.0,64.0,21.0
00-0027114,T.Morstead,NYJ,2023,0.0,0.0,0.0,0.0,28.0,18.0
00-0027150,J.Edelman,NE,2019,0.202483579638752,0.0,5.0,2.0,35.0,22.0
00-0027150,J.Edelman,NE,2020,0.2026455026455026,0.0087719298245614,3.0,0.0,22.0,22.0
00-0027539,A.Levine,BAL,2019,0.0,0.0217391304347826,0.0,1.0,20.0,44.0
00-0027647,D.McCourty,NE,2020,0.0,0.0,0.0,0.0,21.0,43.0
00-0027656,R.Gronkowski,TB,2020,0.0688007898534214,0.0,7.0,0.0,29.0,33.0
00-0027656,R.Gronkowski,TB,2021,0.2113020646855233,0.0,11.0,0.0,53.0,14.0
00-0027685,E.Sanders,SF,2019,0.1393097643097643,0.0,5.0,0.0,31.0,22.0
00-0027685,E.Sanders,NO,2020,0.2367268746579091,0.0074074074074074,9.0,0.0,35.0,25.0
00-0027685,E.Sanders,BUF,2021,0.0775436996504028,0.0,1.0,0.0,37.0,24.0
00-0027688,C.McCoy,WAS,2019,0.0,0.1,0.0,2.0,27.0,20.0
00-0027688,C.McCoy,NYG,2020,0.0,0.0611879160266257,0.0,2.0,32.0,21.0
00-0027688,C.McCoy,ARI,2021,0.0,0.1371017871017871,0.0,1.0,48.0,21.0
00-0027688,C.McCoy,ARI,2022,0.0,0.1687062937062937,0.0,2.0,35.0,20.0
00-0027691,A.Roberts,BUF,2019,0.0389743589743589,0.0123456790123456,2.0,0.0,24.0,38.0
00-0027691,A.Roberts,BUF,2020,0.0378472222222222,0.0208333333333333,2.0,0.0,38.0,31.0
00-0027691,A.Roberts,LAC,2021,0.0,0.033713200379867,0.0,0.0,30.0,35.0
00-0027696,J.Graham,GB,2019,0.1125878669738318,0.0,5.0,0.0,37.0,16.0
00-0027696,J.Graham,CHI,2020,0.1101755065169699,0.0,2.0,0.0,27.0,19.0
00-0027696,J.Graham,CHI,2021,0.0476671476671476,0.0,2.0,0.0,46.0,25.0
00-0027696,J.Graham,NO,2023,0.0551306165099268,0.0,2.0,0.0,28.0,28.0
00-0027793,A.Brown,NE,2019,0.2857142857142857,0.0285714285714285,8.0,1.0,28.0,35.0
00-0027793,A.Brown,TB,2020,0.1881977671451355,0.0114942528735632,6.0,0.0,29.0,33.0
00-0027793,A.Brown,TB,2021,0.3390804597701149,0.0,5.0,0.0,49.0,21.0
00-0027857,T.Williams,SF,2021,0.05,0.0,1.0,0.0,20.0,42.0
00-0027874,D.Thomas,NYJ,2019,0.135022385022385,0.0,4.0,0.0,35.0,32.0
00-0027891,G.Tate,NYG,2019,0.1974653698791629,0.0,8.0,0.0,47.0,21.0
00-0027891,G.Tate,NYG,2020,0.1694649194649194,0.0,3.0,0.0,32.0,21.0
00-0027902,D.Bryant,BAL,2020,0.0668431809736157,0.0,1.0,0.0,35.0,32.0
00-0027925,J.Develin,NE,2019,0.0,0.0571428571428571,0.0,2.0,28.0,35.0
00-0027939,C.Newton,CAR,2019,0.0,0.1304347826086956,0.0,2.0,49.0,19.0
00-0027939,C.Newton,NE,2020,0.0,0.2723789620341345,1.0,11.0,30.0,29.0
00-0027939,C.Newton,CAR,2021,0.0,0.4117300324196876,0.0,1.0,24.0,26.0
00-0027942,A.Green,CIN,2020,0.1997300944669365,0.0,6.0,0.0,20.0,19.0
00-0027942,A.Green,ARI,2021,0.1566181566181566,0.0,3.0,0.0,34.0,18.0
00-0027942,A.Green,ARI,2022,0.0528516412983678,0.0,5.0,0.0,27.0,20.0
00-0027944,J.Jones,ATL,2019,0.3732407460839568,0.0,13.0,0.0,48.0,30.0
00-0027944,J.Jones,ATL,2020,0.1973856209150326,0.0,10.0,0.0,37.0,21.0
00-0027944,J.Jones,TEN,2021,0.1152777777777777,0.0,7.0,0.0,24.0,27.0
00-0027944,J.Jones,TB,2022,0.0820494864612511,0.0133333333333333,11.0,0.0,61.0,12.0
00-0027944,J.Jones,PHI,2023,0.1064265846874542,0.0,3.0,0.0,32.0,15.0
00-0027948,B.Gabbert,TB,2020,0.0,0.1222651222651222,0.0,2.0,41.0,26.0
00-0027948,B.Gabbert,TB,2021,0.0,0.0246913580246913,0.0,1.0,38.0,20.0
00-0027948,B.Gabbert,TB,2022,0.0,0.0,0.0,0.0,33.0,20.0
00-0027948,B.Gabbert,KC,2023,0.0,0.054054054054054,0.0,5.0,29.0,28.0
00-0027966,M.Ingram,BAL,2019,0.0960035133948177,0.345632798573975,2.0,6.0,53.0,29.0
00-0027966,M.Ingram,BAL,2020,0.0392156862745098,0.1337798837798837,0.0,9.0,19.0,54.0
00-0027966,M.Ingram,NO,2021,0.1170009033423667,0.4674035641777577,0.0,4.0,18.0,23.0
00-0027966,M.Ingram,NO,2022,0.0439613526570048,0.1212121212121212,5.0,7.0,28.0,25.0
00-0027973,A.Dalton,CIN,2019,0.0,0.0530913978494623,0.0,8.0,27.0,39.0
00-0027973,A.Dalton,DAL,2020,0.0,0.0926559714795008,0.0,7.0,44.0,27.0
00-0027973,A.Dalton,CHI,2021,0.0,0.1306939123031077,0.0,1.0,46.0,25.0
00-0027973,A.Dalton,NO,2022,0.0,0.0472024707318824,0.0,1.0,25.0,32.0
00-0027973,A.Dalton,CAR,2023,0.0,0.1428571428571428,0.0,1.0,35.0,23.0
00-0027973,A.Dalton,CAR,2024,0.0,0.0936932849364791,0.0,2.0,17.0,23.0
00-0027981,K.Rudolph,MIN,2019,0.1391577060931899,0.0,3.0,0.0,29.0,10.0
00-0027981,K.Rudolph,MIN,2020,0.149813122923588,0.0,2.0,0.0,40.0,38.0
00-0027981,K.Rudolph,NYG,2021,0.0476923708631025,0.0,6.0,0.0,30.0,25.0
00-0027981,K.Rudolph,TB,2022,0.021547619047619,0.0,1.0,0.0,33.0,20.0
